"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","11:21","11:21","1.00","11:21","131","140","11","--","163","0.87","129","10:16","230","11:21","11:21"
"2","12:04","23:25","1.00","12:04","141","147","38","18","161","0.83","148","10:48","166","12:04","12:04"
"3","12:20","35:45","1.00","12:20","139","149","12","43","160","0.81","145","11:30","166","12:20","12:20"
"4","12:22","48:07","1.00","12:22","137","144","20","25","159","0.82","137","11:38","164","12:22","12:22"
"5","12:57","1:01:04","1.00","12:57","134","140","--","4","157","0.79","125","11:50","162","12:57","12:57"
"6","13:42","1:14:46","1.00","13:42","132","141","24","--","155","0.76","111","12:23","161","13:41","13:41"
"7","11:44","1:26:30","1.00","11:44","130","164","9","24","157","0.88","72","8:03","164","11:44","11:44"
"8","9:38.9","1:36:09","1.00","9:39","164","172","16","14","163","1.02","139","9:18","168","9:38.9","9:39"
"9","9:37.1","1:45:46","1.00","9:37","166","173","36","27","164","1.02","142","8:59","171","9:37","9:37"
"10","9:17.4","1:55:04","1.00","9:17","172","179","--","9","166","1.04","148","8:38","170","9:17.4","9:17"
"11","1:14.7","1:56:18","0.15","8:03","180","186","--","7","169","1.18","21","7:59","173","1:14.7","8:03"
"Summary","1:56:18","1:56:18","10.15","11:27","143","186","165","171","160","0.87","1,317","7:59","230","1:56:17","11:27"
